CUSTOMER_ID,QUESTION_WEIGHTED_RISK
1,1.9990430000
3,2.8578990000
4,2.8908750000
6,2.8908750000
7,2.8908750000
8,2.8908750000
9,2.8908750000
11,2.8908750000
12,2.8908750000
14,2.1991090000
15,3.0060010000
18,2.0147400000
20,3.1557320000
21,3.2519010000
22,1.9738330000
24,1.9638290000
27,2.0396900000
28,2.6821040000
43,2.8908750000
46,2.9548640000
51,2.1060230000
55,3.8643380000
66,2.7316310000
67,3.1461640000
71,2.8908750000
75,2.8908750000
79,2.8908750000
80,2.8908750000
89,2.4013800000
95,2.0042580000
115,1.5534910000
117,2.8908750000
122,3.0993900000
124,2.9418400000
135,1.7331330000
144,3.0516130000
189,3.2163070000
30,2.3014400000
34,4.1774350000
37,2.8908750000
49,2.1058090000
52,2.2309080000
53,3.5211860000
70,2.2125850000
74,2.8908750000
82,2.8908750000
102,1.9144920000
106,2.8908750000
125,2.8908750000
129,4.0682380000
142,1.8641060000
183,3.0934630000
184,2.9831640000
185,1.7375400000
190,2.6614760000
223,4.3076670000
157,2.8908750000
192,2.8132720000
198,3.1039430000
248,1.7541880000
317,3.0208950000
368,2.7924490000
393,2.8908750000
511,2.8908750000
23,3.7684970000
29,3.2885890000
31,1.2808150000
32,3.1098870000
33,2.1357190000
57,2.2365890000
58,3.0559280000
72,2.8908750000
73,2.8908750000
92,3.1254330000
98,1.6911300000
99,4.1032090000
107,2.8908750000
108,3.0161440000
120,2.8906630000
134,2.9535650000
143,2.2104220000
169,1.8519160000
173,3.2969350000
252,3.9521660000
13,2.6457910000
50,3.1088140000
59,2.3451920000
61,2.8411360000
62,2.1401560000
68,2.2963100000
77,3.0993900000
84,1.2793330000
86,2.8908750000
90,2.1952010000
96,3.3235600000
97,2.9577400000
109,2.8908750000
110,3.0636330000
114,2.1300130000
126,2.1843290000
128,2.2253660000
136,1.5390000000
141,1.5904950000
154,3.1459190000
159,2.8908750000
176,3.2273430000
179,2.2469300000
181,3.2123270000
182,2.2081310000
191,1.6210290000
193,4.1387060000
202,2.8908750000
215,3.0726230000
220,2.1256960000
224,1.5403030000
226,3.9075070000
227,2.7981330000
229,3.1075220000
231,2.7606430000
241,3.0993900000
243,3.2738420000
69,3.1057650000
81,2.8908750000
113,2.4792570000
118,2.8908750000
121,3.0161440000
133,2.4532360000
150,2.8908750000
160,2.8908750000
163,3.0208950000
170,2.7936020000
174,3.0954270000
178,3.1960910000
203,2.8908750000
208,2.8908750000
209,3.2723600000
214,2.8908750000
230,3.0208950000
234,2.8908750000
239,2.8908750000
245,2.7591610000
247,2.1445650000
172,2.7710850000
196,2.8908750000
258,4.0199630000
265,3.9607450000
267,3.1817530000
280,2.8908750000
283,2.8908750000
285,3.1053560000
286,2.2148110000
288,2.2911360000
289,3.2802750000
293,3.1572820000
305,1.4110470000
306,1.5363160000
310,1.4110470000
311,2.8908750000
312,2.8908750000
325,2.0524010000
328,2.0722370000
337,3.2174600000
348,2.8908750000
373,1.7038660000
382,3.1955590000
399,3.7354490000
406,3.4671060000
413,4.1445750000
421,2.8908750000
426,3.0342740000
484,2.2893340000
507,2.8908750000
550,2.9564720000
572,2.3480170000
575,2.8908750000
616,2.8908750000
622,2.7760200000
648,2.8908750000
689,2.3494320000
698,1.5851980000
764,2.0750400000
343,1.5877030000
360,1.4110470000
366,1.8761480000
422,2.8908750000
497,2.8908750000
528,3.2067900000
537,3.1950850000
778,1.9591340000
870,4.3556150000
929,3.8687270000
1022,2.7659520000
39,2.8908750000
60,4.2030540000
147,3.3693470000
165,3.1148100000
36,2.7606430000
91,3.5327680000
104,2.2969070000
151,2.8908750000
161,2.8908750000
175,4.2272750000
177,2.2489460000
187,3.2939240000
205,2.8908750000
207,2.8908750000
210,2.8908750000
236,2.8908750000
238,2.8908750000
244,2.8908750000
250,1.8598560000
256,2.3171760000
65,2.2439800000
78,2.8908750000
100,3.1261790000
101,1.9401110000
103,3.0248750000
119,2.8908750000
145,2.1522150000
148,3.8146930000
158,2.8908750000
201,1.5410670000
212,2.8908750000
213,2.8908750000
228,3.0607290000
235,2.8908750000
237,2.8908750000
242,2.8908750000
249,3.2231390000
253,1.9557030000
206,2.8908750000
233,2.8908750000
259,2.2504750000
260,1.6750810000
263,1.9727010000
268,1.6636280000
271,2.8059350000
275,3.0409860000
276,3.3537150000
278,2.8908750000
279,2.8908750000
282,2.8908750000
287,3.6367320000
294,1.8866070000
295,3.0062150000
297,3.0890520000
298,2.3233940000
299,3.2316550000
304,3.3255790000
309,2.8908750000
313,2.8908750000
315,2.8908750000
316,2.8908750000
318,2.8908750000
320,1.9320740000
322,3.2781840000
323,1.8347410000
324,1.9087840000
326,4.2858910000
327,3.0794770000
329,2.3292400000
330,2.8557700000
331,3.9633870000
332,3.3443780000
334,3.2231390000
335,2.5373350000
341,2.8633450000
342,2.8908750000
344,3.1428220000
345,2.2582780000
349,2.8908750000
350,3.2020920000
352,2.8908750000
355,2.8908750000
356,2.9376490000
357,2.8908750000
359,2.8908750000
361,2.8908750000
363,2.8908750000
369,2.1457150000
371,1.9131010000
374,3.2244140000
377,1.9695110000
379,3.2696510000
380,2.4655380000
383,2.8074170000
391,3.1938650000
394,3.5814300000
396,2.4234930000
397,2.0464450000
401,3.8875960000
402,3.3348560000
404,2.4435650000
405,2.0781540000
410,2.6719560000
411,2.8638990000
415,1.6629070000
420,3.4311800000
427,2.8908750000
429,2.8908750000
431,2.8908750000
435,2.8908750000
441,2.4496580000
442,1.9215480000
443,2.9889230000
446,1.9036030000
447,4.2599400000
449,3.0008850000
459,2.8908750000
465,2.8908750000
467,2.8908750000
468,2.8908750000
470,2.8908750000
480,2.1706630000
481,4.1043370000
482,2.4348610000
487,2.9156780000
491,2.8908750000
493,2.5456700000
501,2.8908750000
504,2.8908750000
509,2.8908750000
512,2.8908750000
515,2.8731590000
520,3.1711700000
522,1.5094120000
524,2.0183880000
529,2.7606430000
543,3.5340940000
546,2.8908750000
551,2.9994700000
553,2.0875060000
554,3.1508620000
555,3.0314710000
560,3.2802200000
562,1.9620820000
563,2.2221270000
564,2.1175170000
566,2.0774180000
567,3.1724210000
571,4.0964390000
574,2.8908750000
576,1.6749240000
585,2.8908750000
587,3.2597220000
589,2.0914430000
595,3.8437100000
598,2.0749180000
608,3.2757940000
609,2.3715520000
615,2.8908750000
619,2.8908750000
621,3.4038620000
623,2.0842450000
624,2.2698590000
625,3.0559280000
627,2.9674620000
630,2.0708150000
632,2.3056850000
633,1.9646640000
634,2.2297550000
635,3.0208950000
641,2.8908750000
655,1.9922230000
658,3.2575610000
663,1.7982490000
667,3.2060720000
670,3.3208280000
673,3.1822270000
677,3.0208950000
681,2.8908750000
683,2.8908750000
688,2.1070840000
691,3.5897440000
693,2.2391070000
700,1.8746660000
701,3.3891570000
707,3.0161440000
708,2.9403580000
711,1.9043230000
712,3.6520880000
713,3.1318580000
718,2.8908750000
727,2.8908750000
731,3.3108990000
740,2.8908750000
744,3.0971330000
745,3.3487190000
746,2.8908750000
749,1.2793330000
757,2.8908750000
389,2.8908750000
418,3.3211150000
424,2.2035900000
428,2.8908750000
437,2.8908750000
444,3.1721800000
454,2.8901550000
461,2.8908750000
472,2.8908750000
494,3.4359450000
500,2.8908750000
518,4.3918710000
540,2.8908750000
547,3.0208950000
552,2.9122440000
559,1.7228700000
584,2.8908750000
586,2.8908750000
592,2.0880640000
597,2.0507930000
602,1.9053310000
603,3.5869720000
613,2.8908750000
626,2.0782790000
640,2.8908750000
642,2.8908750000
647,2.8908750000
651,2.1275830000
654,1.9605930000
660,1.8095450000
664,2.0686820000
676,2.8908750000
680,1.4893300000
682,2.8908750000
694,2.1480710000
702,2.0730980000
704,2.9575450000
709,2.7606430000
716,2.8908750000
717,3.0993900000
730,2.7591610000
732,3.8861140000
733,1.7267130000
736,1.6995520000
750,3.3255790000
753,3.3208280000
759,1.7549090000
768,3.3653230000
458,2.8908750000
659,2.4421570000
696,3.1013760000
748,2.8908750000
752,2.8908750000
492,3.2020920000
770,2.1674910000
774,2.9691580000
775,2.8908750000
776,2.0049580000
779,2.8859120000
782,2.6289290000
784,2.8908750000
786,2.8908750000
788,3.0993900000
789,2.8908750000
810,1.8150870000
814,1.6417020000
816,1.5527520000
818,2.8908750000
819,2.8908750000
822,2.8908750000
826,1.4952690000
828,3.1856610000
829,2.1055470000
830,1.6911630000
831,2.0648970000
832,1.8665250000
837,3.7838020000
839,4.5043040000
842,4.3556150000
843,2.0907450000
844,3.7948330000
845,4.2606810000
846,3.1468020000
848,2.8022120000
850,3.2119230000
853,2.6063240000
854,2.5855010000
856,3.1393670000
857,1.9035860000
859,4.3556150000
861,2.2253660000
869,3.1355060000
872,4.3556150000
876,2.1340850000
880,4.3556150000
882,4.3556150000
883,4.3556150000
885,3.1355060000
888,2.0624690000
893,2.1163640000
894,2.0787100000
896,3.0689800000
897,2.6063240000
898,3.3221520000
910,4.3556150000
918,3.1901420000
921,4.3556150000
922,4.3556150000
924,4.3556150000
925,4.3556150000
930,3.1017680000
931,4.2544030000
941,3.4149900000
947,2.2728400000
955,4.3556150000
958,4.3556150000
963,4.3556150000
968,2.8676380000
970,2.8025220000
974,2.6599690000
979,3.2847580000
989,3.0378000000
993,4.3556150000
995,4.3556150000
997,4.3556150000
999,4.3556150000
1000,4.3556150000
1004,2.9249550000
1008,3.3617670000
1011,4.2654820000
1014,4.3556150000
1018,3.1901420000
1021,2.8029490000
1024,4.1365400000
1026,2.5788420000
1031,2.3443740000
1041,4.3556150000
1046,2.7243380000
1048,3.9878460000
1052,2.5251420000
1057,2.5802830000
1061,2.9968400000
1069,1.7577610000
1079,4.3556150000
1083,4.3556150000
1085,2.3443680000
1087,3.2871090000
1096,3.1527530000
1105,4.3556150000
1115,4.3556150000
1120,2.8571580000
1126,2.2650580000
1137,2.9217140000
1138,3.1969740000
1141,4.3556150000
1148,3.1901420000
1155,3.4513490000
1165,4.4643980000
1166,3.4312650000
1167,2.2037120000
1169,2.9934720000
1173,3.1901420000
1180,4.3556150000
1182,3.1901420000
1185,2.8571580000
1190,3.1901420000
1191,4.3556150000
1195,2.3834040000
1208,2.6207380000
1213,3.2668880000
1220,3.0660010000
1224,4.3556150000
1236,2.5975460000
1238,4.3556150000
1239,3.0490210000
