Date,Closing_Price,Stock
2023-10-17 00:00:00-04:00,36.84000015258789,MGM
2023-10-18 00:00:00-04:00,35.630001068115234,MGM
2023-10-19 00:00:00-04:00,35.9900016784668,MGM
2023-10-20 00:00:00-04:00,35.25,MGM
2023-10-23 00:00:00-04:00,36.63999938964844,MGM
2023-10-24 00:00:00-04:00,36.65999984741211,MGM
2023-10-25 00:00:00-04:00,34.630001068115234,MGM
2023-10-26 00:00:00-04:00,34.84000015258789,MGM
2023-10-27 00:00:00-04:00,34.22999954223633,MGM
2023-10-30 00:00:00-04:00,34.83000183105469,MGM
2023-10-31 00:00:00-04:00,34.91999816894531,MGM
2023-11-01 00:00:00-04:00,34.970001220703125,MGM
2023-11-02 00:00:00-04:00,36.25,MGM
2023-11-03 00:00:00-04:00,38.15999984741211,MGM
2023-11-06 00:00:00-05:00,38.279998779296875,MGM
2023-11-07 00:00:00-05:00,38.27000045776367,MGM
2023-11-08 00:00:00-05:00,38.650001525878906,MGM
2023-11-09 00:00:00-05:00,38.209999084472656,MGM
2023-11-10 00:00:00-05:00,38.7400016784668,MGM
2023-11-13 00:00:00-05:00,37.939998626708984,MGM
2023-11-14 00:00:00-05:00,40.2599983215332,MGM
2023-11-15 00:00:00-05:00,40.630001068115234,MGM
2023-11-16 00:00:00-05:00,40.209999084472656,MGM
2023-11-17 00:00:00-05:00,39.79999923706055,MGM
2023-11-20 00:00:00-05:00,40.310001373291016,MGM
2023-11-21 00:00:00-05:00,39.86000061035156,MGM
2023-11-22 00:00:00-05:00,40.349998474121094,MGM
2023-11-24 00:00:00-05:00,40.220001220703125,MGM
2023-11-27 00:00:00-05:00,40.04999923706055,MGM
2023-11-28 00:00:00-05:00,39.72999954223633,MGM
2023-11-29 00:00:00-05:00,39.43000030517578,MGM
2023-11-30 00:00:00-05:00,39.439998626708984,MGM
2023-12-01 00:00:00-05:00,40.84000015258789,MGM
2023-12-04 00:00:00-05:00,40.349998474121094,MGM
2023-12-05 00:00:00-05:00,39.130001068115234,MGM
2023-12-06 00:00:00-05:00,39.369998931884766,MGM
2023-12-07 00:00:00-05:00,39.810001373291016,MGM
2023-12-08 00:00:00-05:00,41.41999816894531,MGM
2023-12-11 00:00:00-05:00,43.540000915527344,MGM
2023-12-12 00:00:00-05:00,43.369998931884766,MGM
2023-12-13 00:00:00-05:00,43.75,MGM
2023-12-14 00:00:00-05:00,44.65999984741211,MGM
2023-12-15 00:00:00-05:00,43.099998474121094,MGM
2023-12-18 00:00:00-05:00,43.540000915527344,MGM
2023-12-19 00:00:00-05:00,45.02000045776367,MGM
2023-12-20 00:00:00-05:00,43.4900016784668,MGM
2023-12-21 00:00:00-05:00,44.4900016784668,MGM
2023-12-22 00:00:00-05:00,44.380001068115234,MGM
2023-12-26 00:00:00-05:00,44.65999984741211,MGM
2023-12-27 00:00:00-05:00,44.790000915527344,MGM
2023-12-28 00:00:00-05:00,45.04999923706055,MGM
2023-12-29 00:00:00-05:00,44.68000030517578,MGM
2024-01-02 00:00:00-05:00,45.47999954223633,MGM
2024-01-03 00:00:00-05:00,44.25,MGM
2024-01-04 00:00:00-05:00,44.349998474121094,MGM
2024-01-05 00:00:00-05:00,44.83000183105469,MGM
2024-01-08 00:00:00-05:00,45.90999984741211,MGM
2024-01-09 00:00:00-05:00,44.61000061035156,MGM
2024-01-10 00:00:00-05:00,43.4900016784668,MGM
2024-01-11 00:00:00-05:00,43.40999984741211,MGM
2024-01-12 00:00:00-05:00,42.369998931884766,MGM
2024-01-16 00:00:00-05:00,42.27000045776367,MGM
2024-01-17 00:00:00-05:00,41.630001068115234,MGM
2024-01-18 00:00:00-05:00,42.86000061035156,MGM
2024-01-19 00:00:00-05:00,43.0,MGM
2024-01-22 00:00:00-05:00,42.560001373291016,MGM
2024-01-23 00:00:00-05:00,43.04999923706055,MGM
2024-01-24 00:00:00-05:00,42.86000061035156,MGM
2024-01-25 00:00:00-05:00,43.619998931884766,MGM
2024-01-26 00:00:00-05:00,43.650001525878906,MGM
2024-01-29 00:00:00-05:00,43.849998474121094,MGM
2024-01-30 00:00:00-05:00,43.65999984741211,MGM
2024-01-31 00:00:00-05:00,43.369998931884766,MGM
2024-02-01 00:00:00-05:00,44.709999084472656,MGM
2024-02-02 00:00:00-05:00,44.880001068115234,MGM
2024-02-05 00:00:00-05:00,44.5099983215332,MGM
