Date,Closing_Price,Stock
2023-10-17 00:00:00-04:00,91.69000244140625,ON
2023-10-18 00:00:00-04:00,89.58999633789062,ON
2023-10-19 00:00:00-04:00,87.01000213623047,ON
2023-10-20 00:00:00-04:00,84.83000183105469,ON
2023-10-23 00:00:00-04:00,83.61000061035156,ON
2023-10-24 00:00:00-04:00,85.08999633789062,ON
2023-10-25 00:00:00-04:00,81.16000366210938,ON
2023-10-26 00:00:00-04:00,82.79000091552734,ON
2023-10-27 00:00:00-04:00,83.5199966430664,ON
2023-10-30 00:00:00-04:00,65.33999633789062,ON
2023-10-31 00:00:00-04:00,62.63999938964844,ON
2023-11-01 00:00:00-04:00,64.83999633789062,ON
2023-11-02 00:00:00-04:00,66.62999725341797,ON
2023-11-03 00:00:00-04:00,68.25,ON
2023-11-06 00:00:00-05:00,66.2300033569336,ON
2023-11-07 00:00:00-05:00,66.80000305175781,ON
2023-11-08 00:00:00-05:00,66.25,ON
2023-11-09 00:00:00-05:00,64.3499984741211,ON
2023-11-10 00:00:00-05:00,67.37999725341797,ON
2023-11-13 00:00:00-05:00,66.6500015258789,ON
2023-11-14 00:00:00-05:00,69.95999908447266,ON
2023-11-15 00:00:00-05:00,71.12999725341797,ON
2023-11-16 00:00:00-05:00,69.45999908447266,ON
2023-11-17 00:00:00-05:00,70.02999877929688,ON
2023-11-20 00:00:00-05:00,70.68000030517578,ON
2023-11-21 00:00:00-05:00,68.38999938964844,ON
2023-11-22 00:00:00-05:00,68.55999755859375,ON
2023-11-24 00:00:00-05:00,69.27999877929688,ON
2023-11-27 00:00:00-05:00,68.68000030517578,ON
2023-11-28 00:00:00-05:00,69.0999984741211,ON
2023-11-29 00:00:00-05:00,71.62000274658203,ON
2023-11-30 00:00:00-05:00,71.33000183105469,ON
2023-12-01 00:00:00-05:00,74.18000030517578,ON
2023-12-04 00:00:00-05:00,73.0999984741211,ON
2023-12-05 00:00:00-05:00,72.27999877929688,ON
2023-12-06 00:00:00-05:00,73.44000244140625,ON
2023-12-07 00:00:00-05:00,75.83999633789062,ON
2023-12-08 00:00:00-05:00,76.13999938964844,ON
2023-12-11 00:00:00-05:00,79.4000015258789,ON
2023-12-12 00:00:00-05:00,78.38999938964844,ON
2023-12-13 00:00:00-05:00,81.05999755859375,ON
2023-12-14 00:00:00-05:00,86.20999908447266,ON
2023-12-15 00:00:00-05:00,85.6500015258789,ON
2023-12-18 00:00:00-05:00,83.76000213623047,ON
2023-12-19 00:00:00-05:00,84.73999786376953,ON
2023-12-20 00:00:00-05:00,81.16999816894531,ON
2023-12-21 00:00:00-05:00,83.6500015258789,ON
2023-12-22 00:00:00-05:00,84.01000213623047,ON
2023-12-26 00:00:00-05:00,85.47000122070312,ON
2023-12-27 00:00:00-05:00,85.05000305175781,ON
2023-12-28 00:00:00-05:00,84.9800033569336,ON
